["port 1","LEFT"]
["port 2","RIGHT"]
("port 1","TE",1,"port 1",1,"transmission")
(50, 3)
1.8737028625000000e+014 6.1510072296566035e-002 -2.4083991086875516e+000
1.8762521180952381e+014 6.5888041511021359e-002 -2.2061625103690039e+000
1.8788013736904762e+014 6.6778269975932697e-002 -2.0147206933514687e+000
1.8813506292857144e+014 6.5675594802082432e-002 -1.8756427170802863e+000
1.8838998848809525e+014 6.6394525185765316e-002 -1.7924507044627307e+000
1.8864491404761903e+014 7.1328485546189674e-002 -1.7073025200627221e+000
1.8889983960714284e+014 7.8205937518372265e-002 -1.5668250905853660e+000
1.8915476516666666e+014 8.2572086293025870e-002 -1.3810390963863255e+000
1.8940969072619047e+014 8.2028538795524811e-002 -1.1964241745158168e+000
1.8966461628571428e+014 7.8240402281557736e-002 -1.0622631375817206e+000
1.8991954184523809e+014 7.6220816759324864e-002 -9.9342149565945581e-001
1.9017446740476191e+014 7.9571656051744641e-002 -9.3174616555958989e-001
1.9042939296428572e+014 8.5698741953244062e-002 -8.0960999222628605e-001
1.9068431852380953e+014 8.8923280368034624e-002 -6.3205179830617186e-001
1.9093924408333334e+014 8.6211629716626631e-002 -4.4991518042265394e-001
1.9119416964285712e+014 7.9481639652601341e-002 -3.2068921214275392e-001
1.9144909520238094e+014 7.4630501028680921e-002 -2.6900958697800181e-001
1.9170402076190475e+014 7.6032717004115624e-002 -2.3201293433037426e-001
1.9195894632142856e+014 8.0726849861238834e-002 -1.2531096583400586e-001
1.9221387188095237e+014 8.2275009695667950e-002 4.8172638819933174e-002
1.9246879744047619e+014 7.7454545235137368e-002 2.3010937179561616e-001
1.9272372300000000e+014 6.8419495313766801e-002 3.5105201185591328e-001
1.9297864855952381e+014 6.1572951908493920e-002 3.7266807377091676e-001
1.9323357411904762e+014 6.1636604271318188e-002 3.7249055669080333e-001
1.9348849967857144e+014 6.5024466270001399e-002 4.6364646492000738e-001
1.9374342523809522e+014 6.4907827328204035e-002 6.3783686836262754e-001
1.9399835079761903e+014 5.8462856290924861e-002 8.1940819261690956e-001
1.9425327635714284e+014 4.8339557311651897e-002 9.1522212429109628e-001
1.9450820191666666e+014 4.1358701296191944e-002 8.6377629652055432e-001
1.9476312747619047e+014 4.1826128658077923e-002 7.9660962062729723e-001
1.9501805303571428e+014 4.4587397881374405e-002 8.7481436396442258e-001
1.9527297859523809e+014 4.3090226499201204e-002 1.0512902624114544e+000
1.9552790415476191e+014 3.5887886380067312e-002 1.2105503172132555e+000
1.9578282971428572e+014 2.6767468179276502e-002 1.1984406486763184e+000
1.9603775527380953e+014 2.3448570278424750e-002 9.4352187847130276e-001
1.9629268083333331e+014 2.7152245206645310e-002 8.1891743603157818e-001
